,Age,Fare,Parch,PassengerId,Pclass,SibSp,male
0,34.5,7.8292,0,892,3,0,1
1,47.0,7.0,0,893,3,1,0
2,62.0,9.6875,0,894,2,0,1
3,27.0,8.6625,0,895,3,0,1
4,22.0,12.2875,1,896,3,1,0
5,14.0,9.225,0,897,3,0,1
6,30.0,7.6292,0,898,3,0,0
7,26.0,29.0,1,899,2,1,1
8,18.0,7.2292,0,900,3,0,0
9,21.0,24.15,0,901,3,2,1
11,46.0,26.0,0,903,1,0,1
12,23.0,82.2667,0,904,1,1,0
13,63.0,26.0,0,905,2,1,1
14,47.0,61.175,0,906,1,1,0
15,24.0,27.7208,0,907,2,1,0
16,35.0,12.35,0,908,2,0,1
17,21.0,7.225,0,909,3,0,1
18,27.0,7.925,0,910,3,1,0
19,45.0,7.225,0,911,3,0,0
20,55.0,59.4,0,912,1,1,1
21,9.0,3.1708,1,913,3,0,1
23,21.0,61.3792,1,915,1,0,1
24,48.0,262.375,3,916,1,1,0
25,50.0,14.5,0,917,3,1,1
26,22.0,61.9792,1,918,1,0,0
27,22.5,7.225,0,919,3,0,1
28,41.0,30.5,0,920,1,0,1
30,50.0,26.0,0,922,2,1,1
31,24.0,31.5,0,923,2,2,1
32,33.0,20.575,2,924,3,1,0
34,30.0,57.75,0,926,1,1,1
35,18.5,7.2292,0,927,3,0,1
37,21.0,8.6625,0,929,3,0,0
38,25.0,9.5,0,930,3,0,1
40,39.0,13.4167,1,932,3,0,1
42,41.0,7.85,0,934,3,0,1
43,30.0,13.0,0,935,2,0,0
44,45.0,52.5542,0,936,1,1,0
45,25.0,7.925,0,937,3,0,1
46,45.0,29.7,0,938,1,0,1
48,60.0,76.2917,0,940,1,0,0
49,36.0,15.9,2,941,3,0,0
50,24.0,60.0,0,942,1,1,1
51,27.0,15.0333,0,943,2,0,1
52,20.0,23.0,1,944,2,2,0
53,28.0,263.0,2,945,1,3,0
55,10.0,29.125,1,947,3,4,1
56,35.0,7.8958,0,948,3,0,1
57,25.0,7.65,0,949,3,0,1
59,36.0,262.375,0,951,1,0,0
60,17.0,7.8958,0,952,3,0,1
61,32.0,13.5,0,953,2,0,1
62,18.0,7.75,0,954,3,0,1
63,22.0,7.725,0,955,3,0,0
64,13.0,262.375,2,956,1,2,1
66,18.0,7.8792,0,958,3,0,0
67,47.0,42.4,0,959,1,0,1
68,31.0,28.5375,0,960,1,0,1
69,60.0,263.0,4,961,1,1,0
70,24.0,7.75,0,962,3,0,0
71,21.0,7.8958,0,963,3,0,1
72,29.0,7.925,0,964,3,0,0
73,28.5,27.7208,0,965,1,0,1
74,35.0,211.5,0,966,1,0,0
75,32.5,211.5,0,967,1,0,1
77,55.0,25.7,0,969,1,2,0
78,30.0,13.0,0,970,2,0,1
79,24.0,7.75,0,971,3,0,0
80,6.0,15.2458,1,972,3,1,1
81,67.0,221.7792,0,973,1,1,1
82,49.0,26.0,0,974,1,0,1
86,27.0,7.8792,0,978,3,0,0
87,18.0,8.05,0,979,3,0,0
89,2.0,23.0,1,981,2,1,1
